minutes,url,title,priority
28,http://mp4.it577.net/question/8.mp4,列表页读取数据,4
1,http://mp4.it577.net/tabbar/3.mp4,switchTab切换tab页面,22
6,http://mp4.it577.net/address/3.mp4,搜索页布局,15
8,http://mp4.it577.net/address/4.mp4,逆地址解析当前坐标地址,16
14,http://mp4.it577.net/question/2.mp4,提问页面的布局与样式,-1
3,http://mp4.it577.net/question/15.mp4,源码下载以及数据导入,12
16,http://mp4.it577.net/calc/calc.mp4,加法计算demo,26
3,http://mp4.it577.net/question/0.mp4,简单介绍与预览,-3
7,http://mp4.it577.net/tabbar/1.mp4,小程序TabBar的基本使用,20
15,http://mp4.it577.net/question/10.mp4,回答页面的样式,6
5,http://mp4.it577.net/tabbar/4.mp4,代码下载,23
21,http://mp4.it577.net/question/9.mp4,跳转读取回答页面及它的布局,5
13,http://mp4.it577.net/question/1.mp4,建立列表页与跳转按钮,-2
11,http://mp4.it577.net/address/7.mp4,WxNotification回传地址到首页,19
2,http://mp4.it577.net/tap/tap.mp4,bindtap与catchtap的区别,24
1,http://mp4.it577.net/question/13.mp4,Bmob用户注册方式二,10
15,http://mp4.it577.net/question/5.mp4,多图上传,1
9,http://mp4.it577.net/question/4.mp4,提交字符串数据到Bmob,0
12,http://mp4.it577.net/question/14.mp4,细节拾遗,11
12,http://mp4.it577.net/address/5.mp4,美化搜索页样式,17
17,http://mp4.it577.net/question/7.mp4,删除图片,3
9,http://mp4.it577.net/address/2.mp4,首页布局,14
6,http://mp4.it577.net/question/11.mp4,对注册方式一的登录补充,8
2,http://mp4.it577.net/address/1.mp4,概述,13
11,http://mp4.it577.net/question/12.mp4,关联对象链接访问无效的替代方案,9
7,http://mp4.it577.net/question/6.mp4,多图上传不覆盖与图片预览,2
6,http://mp4.it577.net/address/6.mp4,getSuggestion实现地址关键字搜索,18
5,http://mp4.it577.net/tabbar/2.mp4,改变Tab页优先显示顺序,21
1,http://mp4.it577.net/text/text.mp4,text标签回车引起的坑,25
25,http://mp4.it577.net/question/10.mp4,集成Bmob用户登录,7
